image_path,true_label,predicted_label,confidence,probability
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_02__walking_down_indoor_hall_disgust__YVGY8LOK\frame0.jpg,fake,real,0.77197265625,0.22802734375
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_02__walking_down_indoor_hall_disgust__YVGY8LOK\frame1.jpg,fake,real,0.8822021484375,0.1177978515625
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_02__walking_down_indoor_hall_disgust__YVGY8LOK\frame11.jpg,fake,real,0.600830078125,0.399169921875
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_02__walking_down_indoor_hall_disgust__YVGY8LOK\frame14.jpg,fake,real,0.884033203125,0.115966796875
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_02__walking_down_indoor_hall_disgust__YVGY8LOK\frame2.jpg,fake,real,0.799072265625,0.200927734375
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_02__walking_down_indoor_hall_disgust__YVGY8LOK\frame6.jpg,fake,real,0.748046875,0.251953125
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_02__walking_down_indoor_hall_disgust__YVGY8LOK\frame7.jpg,fake,real,0.69970703125,0.30029296875
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_02__walking_down_indoor_hall_disgust__YVGY8LOK\frame8.jpg,fake,real,0.660888671875,0.339111328125
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_02__walking_down_indoor_hall_disgust__YVGY8LOK\frame9.jpg,fake,real,0.8514404296875,0.1485595703125
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_04__kitchen_pan__GBC7ZGDP\frame0.jpg,fake,real,0.60693359375,0.39306640625
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_04__walk_down_hall_angry__0XUW13RW\frame0.jpg,fake,real,0.53955078125,0.46044921875
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_04__walk_down_hall_angry__0XUW13RW\frame1.jpg,fake,real,0.75146484375,0.24853515625
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_09__walk_down_hall_angry__P70H1JB0\frame0.jpg,fake,real,0.626220703125,0.373779296875
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_15__meeting_serious__02HILKYO\frame10.jpg,fake,real,0.51806640625,0.48193359375
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_15__meeting_serious__02HILKYO\frame11.jpg,fake,real,0.604736328125,0.395263671875
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_15__meeting_serious__02HILKYO\frame4.jpg,fake,real,0.55078125,0.44921875
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_15__meeting_serious__02HILKYO\frame7.jpg,fake,real,0.51953125,0.48046875
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_15__walking_and_outside_surprised__02HILKYO\frame3.jpg,fake,real,0.692138671875,0.307861328125
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_15__walking_and_outside_surprised__02HILKYO\frame6.jpg,fake,real,0.551513671875,0.448486328125
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_20__outside_talking_pan_laughing__OTGHOG4Z\frame0.jpg,fake,real,0.5498046875,0.4501953125
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_20__outside_talking_pan_laughing__OTGHOG4Z\frame12.jpg,fake,real,0.522705078125,0.477294921875
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_20__outside_talking_pan_laughing__OTGHOG4Z\frame2.jpg,fake,real,0.505615234375,0.494384765625
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_20__walking_and_outside_surprised__OTGHOG4Z\frame14.jpg,fake,real,0.8770751953125,0.1229248046875
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_21__kitchen_pan__03X7CELV\frame0.jpg,fake,real,0.618896484375,0.381103515625
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_27__meeting_serious__ZYCZ30C0\frame0.jpg,fake,real,0.71826171875,0.28173828125
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_27__meeting_serious__ZYCZ30C0\frame10.jpg,fake,real,0.65625,0.34375
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_27__meeting_serious__ZYCZ30C0\frame11.jpg,fake,real,0.7589111328125,0.2410888671875
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_27__meeting_serious__ZYCZ30C0\frame12.jpg,fake,real,0.675048828125,0.324951171875
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_27__meeting_serious__ZYCZ30C0\frame13.jpg,fake,real,0.802978515625,0.197021484375
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_27__meeting_serious__ZYCZ30C0\frame14.jpg,fake,real,0.58349609375,0.41650390625
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_27__meeting_serious__ZYCZ30C0\frame2.jpg,fake,real,0.522705078125,0.477294921875
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_27__meeting_serious__ZYCZ30C0\frame3.jpg,fake,real,0.642822265625,0.357177734375
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_27__meeting_serious__ZYCZ30C0\frame4.jpg,fake,real,0.7987060546875,0.2012939453125
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_27__meeting_serious__ZYCZ30C0\frame5.jpg,fake,real,0.525146484375,0.474853515625
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_27__meeting_serious__ZYCZ30C0\frame6.jpg,fake,real,0.53759765625,0.46240234375
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_01_27__meeting_serious__ZYCZ30C0\frame9.jpg,fake,real,0.612548828125,0.387451171875
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_02_01__walking_down_indoor_hall_disgust__YVGY8LOK\frame10.jpg,fake,real,0.6103515625,0.3896484375
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_02_01__walking_down_indoor_hall_disgust__YVGY8LOK\frame11.jpg,fake,real,0.859130859375,0.140869140625
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_02_01__walking_down_indoor_hall_disgust__YVGY8LOK\frame12.jpg,fake,real,0.68994140625,0.31005859375
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_02_01__walking_down_indoor_hall_disgust__YVGY8LOK\frame14.jpg,fake,real,0.668701171875,0.331298828125
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_02_01__walking_down_indoor_hall_disgust__YVGY8LOK\frame9.jpg,fake,real,0.650390625,0.349609375
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_02_06__exit_phone_room__HZAXM70B\frame0.jpg,fake,real,0.578125,0.421875
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_02_06__exit_phone_room__HZAXM70B\frame14.jpg,fake,real,0.567138671875,0.432861328125
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_02_06__walking_down_indoor_hall_disgust__SU4OQCS9\frame1.jpg,fake,real,0.660888671875,0.339111328125
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_02_06__walking_down_indoor_hall_disgust__SU4OQCS9\frame10.jpg,fake,real,0.59326171875,0.40673828125
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_02_06__walking_down_indoor_hall_disgust__SU4OQCS9\frame12.jpg,fake,real,0.6982421875,0.3017578125
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_02_06__walking_down_indoor_hall_disgust__SU4OQCS9\frame14.jpg,fake,real,0.613525390625,0.386474609375
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_02_06__walking_down_indoor_hall_disgust__SU4OQCS9\frame3.jpg,fake,real,0.604248046875,0.395751953125
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_02_06__walking_down_indoor_hall_disgust__SU4OQCS9\frame8.jpg,fake,real,0.7451171875,0.2548828125
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_02_07__exit_phone_room__9NVRE2KQ\frame0.jpg,fake,real,0.56494140625,0.43505859375
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_02_07__exit_phone_room__9NVRE2KQ\frame1.jpg,fake,real,0.53955078125,0.46044921875
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_02_07__kitchen_pan__34PVT42V\frame10.jpg,fake,real,0.669921875,0.330078125
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_02_07__kitchen_pan__34PVT42V\frame5.jpg,fake,real,0.538330078125,0.461669921875
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_02_09__walk_down_hall_angry__9TDCEK1Q\frame0.jpg,fake,real,0.50927734375,0.49072265625
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_02_13__exit_phone_room__CP5HFV3K\frame1.jpg,fake,real,0.560302734375,0.439697265625
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_02_13__exit_phone_room__CP5HFV3K\frame2.jpg,fake,real,0.603759765625,0.396240234375
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_02_14__secret_conversation__3IUBEKCT\frame5.jpg,fake,real,0.609375,0.390625
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_02_25__walking_down_street_outside_angry__Z7FQ69VP\frame0.jpg,fake,real,0.634033203125,0.365966796875
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_02_25__walking_down_street_outside_angry__Z7FQ69VP\frame1.jpg,fake,real,0.607177734375,0.392822265625
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_02_25__walking_down_street_outside_angry__Z7FQ69VP\frame2.jpg,fake,real,0.521484375,0.478515625
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_02_25__walking_outside_cafe_disgusted__Z7FQ69VP\frame0.jpg,fake,real,0.641845703125,0.358154296875
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_02_25__walking_outside_cafe_disgusted__Z7FQ69VP\frame1.jpg,fake,real,0.536376953125,0.463623046875
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_03_02__walking_and_outside_surprised__GYX5OFTD\frame10.jpg,fake,real,0.53759765625,0.46240234375
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_03_02__walking_and_outside_surprised__GYX5OFTD\frame11.jpg,fake,real,0.529296875,0.470703125
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_03_02__walking_and_outside_surprised__GYX5OFTD\frame12.jpg,fake,real,0.7412109375,0.2587890625
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_03_02__walking_and_outside_surprised__GYX5OFTD\frame14.jpg,fake,real,0.571044921875,0.428955078125
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_03_02__walking_and_outside_surprised__GYX5OFTD\frame3.jpg,fake,real,0.545166015625,0.454833984375
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_03_02__walking_and_outside_surprised__GYX5OFTD\frame4.jpg,fake,real,0.630859375,0.369140625
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_03_02__walking_and_outside_surprised__GYX5OFTD\frame5.jpg,fake,real,0.683349609375,0.316650390625
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_03_02__walking_and_outside_surprised__GYX5OFTD\frame7.jpg,fake,real,0.7540283203125,0.2459716796875
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_03_02__walking_and_outside_surprised__GYX5OFTD\frame8.jpg,fake,real,0.595947265625,0.404052734375
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_03_02__walking_and_outside_surprised__GYX5OFTD\frame9.jpg,fake,real,0.812255859375,0.187744140625
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_03_02__walking_down_street_outside_angry__QH3Y0IG0\frame0.jpg,fake,real,0.521728515625,0.478271484375
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_03_02__walking_down_street_outside_angry__QH3Y0IG0\frame9.jpg,fake,real,0.586669921875,0.413330078125
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_03_06__walking_down_street_outside_angry__1IXGY2FK\frame8.jpg,fake,real,0.70166015625,0.29833984375
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_03_06__walking_down_street_outside_angry__1IXGY2FK\frame9.jpg,fake,real,0.548828125,0.451171875
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_03_07__exit_phone_room__WPT3Z2KN\frame2.jpg,fake,real,0.5146484375,0.4853515625
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_03_07__secret_conversation__9NVYPOMN\frame0.jpg,fake,real,0.539794921875,0.460205078125
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_03_07__secret_conversation__9NVYPOMN\frame1.jpg,fake,real,0.552001953125,0.447998046875
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_03_07__walking_outside_cafe_disgusted__PWXXULHR\frame0.jpg,fake,real,0.6875,0.3125
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_03_07__walking_outside_cafe_disgusted__PWXXULHR\frame1.jpg,fake,real,0.605224609375,0.394775390625
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_03_07__walking_outside_cafe_disgusted__PWXXULHR\frame2.jpg,fake,real,0.7882080078125,0.2117919921875
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_03_11__exit_phone_room__P08VGHTA\frame10.jpg,fake,real,0.7711181640625,0.2288818359375
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_03_12__exit_phone_room__D7G6YJON\frame8.jpg,fake,real,0.50537109375,0.49462890625
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_03_14__meeting_serious__L0GHYIFS\frame0.jpg,fake,real,0.51904296875,0.48095703125
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_03_14__meeting_serious__L0GHYIFS\frame8.jpg,fake,real,0.52294921875,0.47705078125
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_03_14__meeting_serious__L0GHYIFS\frame9.jpg,fake,real,0.569580078125,0.430419921875
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_03_14__walking_down_street_outside_angry__Q9NSXM88\frame0.jpg,fake,real,0.627685546875,0.372314453125
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_03_15__exit_phone_room__5C1OMK8W\frame0.jpg,fake,real,0.7967529296875,0.2032470703125
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_03_15__exit_phone_room__5C1OMK8W\frame1.jpg,fake,real,0.54931640625,0.45068359375
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_03_15__meeting_serious__DNUJD8M2\frame0.jpg,fake,real,0.5224609375,0.4775390625
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_03_15__meeting_serious__DNUJD8M2\frame8.jpg,fake,real,0.59765625,0.40234375
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_03_15__meeting_serious__DNUJD8M2\frame9.jpg,fake,real,0.64111328125,0.35888671875
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_03_18__walking_and_outside_surprised__8HNSXOBW\frame7.jpg,fake,real,0.8507080078125,0.1492919921875
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_03_18__walking_and_outside_surprised__8HNSXOBW\frame8.jpg,fake,real,0.5576171875,0.4423828125
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_03_18__walking_and_outside_surprised__8HNSXOBW\frame9.jpg,fake,real,0.7711181640625,0.2288818359375
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_03_21__kitchen_still__V53E3RVB\frame6.jpg,fake,real,0.639404296875,0.360595703125
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_03_26__meeting_serious__WBSXBL82\frame4.jpg,fake,real,0.505126953125,0.494873046875
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_03_26__meeting_serious__WBSXBL82\frame7.jpg,fake,real,0.529541015625,0.470458984375
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_03_26__meeting_serious__WBSXBL82\frame8.jpg,fake,real,0.527099609375,0.472900390625
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_04_01__walking_down_street_outside_angry__GBC7ZGDP\frame14.jpg,fake,real,0.64111328125,0.35888671875
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_04_01__walking_down_street_outside_angry__GBC7ZGDP\frame6.jpg,fake,real,0.627685546875,0.372314453125
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_04_01__walking_down_street_outside_angry__GBC7ZGDP\frame8.jpg,fake,real,0.509765625,0.490234375
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_04_02__podium_speech_happy__8CH7R4LW\frame0.jpg,fake,real,0.673095703125,0.326904296875
G:/Hiep/Deepfake_Detection/data_preprocessing/frames\fake_DeepFakeDetection_04_02__podium_speech_happy__8CH7R4LW\frame2.jpg,fake,real,0.5654296875,0.4345703125
